Year,1,2,3,4,5,6,7,8,9,10
1952,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1953,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1954,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
1955,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1956,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1957,0.00,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
1958,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01
1959,0.00,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
1960,0.00,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01
1961,0.00,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
1962,0.00,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02
1963,0.00,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
1964,0.00,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1965,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02
1966,0.00,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
1967,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02
1968,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1969,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
1970,0.04,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
1971,0.08,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
1972,0.07,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02
1973,0.06,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02
1974,0.09,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02
1975,0.06,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1976,0.07,0.03,0.03,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1977,0.11,0.03,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1978,0.26,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02
1979,0.25,0.04,0.04,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1980,0.14,0.03,0.04,0.05,0.05,0.04,0.03,0.03,0.03,0.03
1981,0.20,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1982,0.15,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03
1983,0.23,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1984,0.27,0.08,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03
1985,0.23,0.07,0.05,0.06,0.05,0.04,0.04,0.03,0.03,0.03
1986,0.36,0.08,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03
1987,0.32,0.09,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04
1988,0.23,0.06,0.05,0.06,0.05,0.04,0.04,0.03,0.03,0.03
1989,0.27,0.09,0.05,0.06,0.05,0.04,0.04,0.03,0.03,0.03
1990,0.33,0.09,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.04
1991,0.59,0.13,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03
1992,0.48,0.13,0.09,0.06,0.06,0.05,0.04,0.04,0.04,0.04
1993,0.43,0.09,0.07,0.07,0.05,0.05,0.04,0.04,0.04,0.04
1994,0.42,0.13,0.07,0.10,0.09,0.06,0.06,0.06,0.06,0.06
1995,0.47,0.10,0.07,0.08,0.07,0.06,0.05,0.05,0.05,0.05
1996,0.45,0.09,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04
1997,0.48,0.15,0.09,0.09,0.07,0.06,0.05,0.05,0.05,0.05
1998,0.57,0.14,0.10,0.10,0.09,0.08,0.07,0.07,0.07,0.06
1999,0.65,0.23,0.12,0.10,0.08,0.07,0.06,0.06,0.06,0.06
2000,0.49,0.15,0.10,0.09,0.10,0.07,0.07,0.07,0.07,0.06
2001,0.47,0.11,0.07,0.11,0.09,0.08,0.06,0.06,0.06,0.06
2002,0.43,0.15,0.11,0.11,0.12,0.09,0.09,0.08,0.08,0.08
2003,0.83,0.13,0.10,0.10,0.09,0.08,0.07,0.07,0.06,0.06
2004,0.66,0.17,0.12,0.15,0.13,0.10,0.10,0.09,0.09,0.08
2005,0.58,0.15,0.11,0.10,0.09,0.08,0.07,0.07,0.07,0.06
2006,0.59,0.15,0.11,0.12,0.10,0.09,0.08,0.07,0.07,0.07
2007,0.67,0.15,0.10,0.11,0.10,0.07,0.07,0.07,0.06,0.06
2008,0.73,0.16,0.10,0.11,0.10,0.08,0.07,0.07,0.07,0.07
2009,0.51,0.18,0.10,0.12,0.11,0.09,0.08,0.07,0.08,0.07
2010,0.50,0.12,0.11,0.11,0.09,0.08,0.07,0.07,0.06,0.07
2011,0.69,0.21,0.12,0.12,0.10,0.09,0.08,0.07,0.07,0.06
2012,0.47,0.14,0.11,0.13,0.12,0.09,0.08,0.08,0.08,0.08
2013,0.51,0.13,0.09,0.11,0.10,0.09,0.07,0.07,0.07,0.07
2014,0.68,0.14,0.11,0.13,0.13,0.11,0.11,0.09,0.09,0.09
2015,0.63,0.15,0.10,0.12,0.11,0.09,0.09,0.09,0.08,0.07
2016,0.70,0.15,0.11,0.10,0.08,0.07,0.07,0.07,0.07,0.06
2017,0.46,0.14,0.10,0.09,0.07,0.06,0.06,0.05,0.05,0.05
2018,0.62,0.15,0.10,0.11,0.10,0.08,0.07,0.07,0.06,0.06
2019,0.63,0.12,0.09,0.11,0.10,0.09,0.08,0.07,0.07,0.07
2020,0.95,0.22,0.11,0.09,0.08,0.07,0.06,0.06,0.06,0.06
2021,0.55,0.10,0.09,0.08,0.08,0.06,0.06,0.05,0.05,0.05
