Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1995,157,158,129,104,82,62,46,32,22,15,10,7,5,4,3,2,1,1,1,1,0,0,0,0,0,0
1996,156,136,134,106,81,60,43,31,21,15,10,7,5,4,3,2,1,1,1,1,0,0,0,0,0,0
1997,162,135,117,113,86,64,46,33,23,16,11,7,5,4,3,2,1,1,1,1,0,0,0,0,0,0
1998,159,141,115,97,90,66,47,33,23,16,11,8,5,4,3,2,1,1,1,1,0,0,0,0,0,0
1999,149,138,119,94,76,67,47,32,22,15,11,7,5,4,3,2,1,1,1,1,0,0,0,0,0,0
2000,126,128,115,94,69,51,42,28,19,13,9,6,4,3,2,2,1,1,1,1,0,0,0,0,0,0
2001,115,109,108,93,73,51,36,28,18,12,8,6,4,3,2,2,1,1,1,0,0,0,0,0,0,0
2002,104,99,92,88,72,53,35,24,18,12,8,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0
2003,93,90,83,73,66,50,34,22,14,11,7,5,3,2,2,1,1,1,1,0,0,0,0,0,0,0
2004,88,80,75,67,55,46,33,22,13,9,7,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
2005,74,75,66,58,47,35,27,18,11,7,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0
2006,71,64,63,53,44,33,23,17,11,7,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0
2007,67,61,54,51,40,30,21,14,10,6,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0
2008,67,58,52,44,39,29,21,14,9,7,4,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0
2009,59,57,48,41,33,27,19,13,9,5,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2010,53,51,48,39,31,23,18,12,8,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2011,46,46,42,38,29,21,15,11,7,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,45,40,39,34,30,21,15,10,7,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2013,40,39,33,31,26,20,13,9,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2014,39,34,33,27,23,18,14,9,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2015,37,33,29,26,20,16,12,9,5,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2016,37,32,28,24,20,15,11,8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,37,32,27,23,18,15,11,8,5,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,41,33,28,23,19,15,12,8,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,44,35,28,23,19,15,11,9,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2020,43,38,30,23,19,14,11,8,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2021,45,38,32,25,19,15,11,8,6,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,45,39,32,27,20,15,11,8,6,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2023,45,39,33,27,22,16,11,8,6,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
